,model_id,seed,tweedie_variance_power,tweedie_link_power,alpha,lambda,missing_values_handling,standardize
0,GLM_grid_1_AutoML_20190421_193027_model_1,-975422325082088501,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[16191407973.326683, 10055138664.513983, 6244411463.732074, 3877885311.119502, 2408232476.9176397]",MeanImputation,True
1,GLM_grid_1_AutoML_20190421_193852_model_1,-8617944177042712202,0.0,1.0,"[0.0, 0.2, 0.4, 0.6, 0.8, 1.0]","[16191407973.326683, 10055138664.513983, 6244411463.732074, 3877885311.119502, 2408232476.9176397]",MeanImputation,True
