,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,GBM_grid_1_AutoML_20190421_193852_model_8,1.189184770281411e+21,5.0679527335507106e+20,3.808660076026302e+20,1.9710010806061394e+20,1.9624730924992483e+20,1.8449794558769653e+20,1.4659802606886244e+20,1.4469529920676351e+20,1.0476742284947331e+20,8.092481226831351e+19,5.715531041430779e+19,5.631280743050117e+19,4.704902614230237e+19,4.4022448863035e+19,2.04015855879418e+19,1.8939153759139267e+19,1.1397191187363267e+19,7.456283128181555e+18
1,GBM_1_AutoML_20190421_193027,4.616726179729113e+20,3.472102557435696e+20,3.287329364505149e+20,1.1901065480535802e+20,1.0660337856944066e+20,1.0094290799169634e+20,8.070194565940983e+19,7.691747941316297e+19,5.583690361362763e+19,5.1258774690079965e+19,4.6704804236017795e+19,4.446396875228473e+19,4.377449579683198e+19,2.0301193579256087e+19,1.7373620725000176e+19,1.2660116631305847e+19,9.608042776901976e+18,5.202507492101194e+18
2,XGBoost_1_AutoML_20190421_193852,7.619545211743502e+20,4.565837263158431e+20,4.429435193131889e+20,1.77924431758154e+20,1.7728189475506776e+20,1.536750458551822e+20,1.0544442294502058e+20,1.0390523860752951e+20,9.893457523677279e+19,7.416662446576973e+19,6.76804866262633e+19,4.584657823593398e+19,3.857311090610274e+19,2.022367800949788e+19,1.9577171769435357e+19,1.2685289950023778e+19,7.381829698306703e+18,6.207812413853532e+18
3,XGBoost_grid_1_AutoML_20190421_193852_model_2,1.1053397079062825e+21,1.0196668877698834e+21,7.471654036855073e+20,2.873746746303253e+20,2.3627734343157495e+20,2.1944024919655737e+20,1.7926529058627335e+20,1.6946137640995285e+20,1.6740411098954675e+20,9.765330114278588e+19,6.724512840017563e+19,5.898850416106616e+19,2.9828026427330527e+19,2.6004430761274376e+19,2.287101833518252e+19,1.4383302040681972e+19,1.2558631708062122e+19,1.1415742147547103e+19
4,XGBoost_1_AutoML_20190421_193027,6.374396319955084e+20,6.206835673694114e+20,4.1474570799003625e+20,1.8224255696805822e+20,1.775357148153166e+20,1.2390095707026384e+20,1.0464272063869747e+20,9.778390553197963e+19,8.396694104004415e+19,6.241417337489064e+19,6.122478766666023e+19,5.175066100797486e+19,4.714971501912759e+19,2.9715832260832264e+19,1.9040003164662137e+19,9.100116783381086e+18,7.506242187768627e+18,6.178445557787263e+18
5,XGBoost_grid_1_AutoML_20190421_193852_model_4,8.572744035562978e+20,5.712883681313885e+20,5.578417103595949e+20,3.016627490684372e+20,2.9019679552338448e+20,2.4668350850494e+20,1.6771978517592775e+20,1.6423053340369224e+20,1.395998368682077e+20,1.1905719493353852e+20,9.45332829673436e+19,7.823091202323907e+19,5.389466909971946e+19,3.218011929365499e+19,2.405686361597149e+19,2.315049879780039e+19,2.0359476491621237e+19,1.8550755674673906e+19
6,XGBoost_grid_1_AutoML_20190421_193852_model_5,6.49297257970654e+20,5.404140112546942e+20,4.947626403131556e+20,1.6317716607991074e+20,1.515740110758976e+20,1.3194231892288733e+20,1.0999858251508272e+20,8.467682093130842e+19,6.049205992377077e+19,5.8373846374813794e+19,5.258499242136384e+19,5.015260441988615e+19,3.214586950644977e+19,1.6533047384100307e+19,1.2042653990891028e+19,1.012051525100372e+19,8.985389342092427e+18,3.9623235220338115e+18
7,XGBoost_2_AutoML_20190421_193027,6.604597814908126e+20,6.219848261867447e+20,4.752576558801302e+20,1.5605087058048057e+20,1.4884417879082743e+20,1.3982216691543704e+20,1.1510093219447492e+20,9.004756579708725e+19,8.375103214072103e+19,6.9019788545917714e+19,6.657822182137135e+19,5.114530069204697e+19,2.424024676232174e+19,1.2811221414799475e+19,1.0237527477454897e+19,7.058806925961462e+18,6.778566700808798e+18,3.35514571338521e+18
8,XGBoost_grid_1_AutoML_20190421_193027_model_6,8.099533230529116e+20,6.416221390431962e+20,5.167648003708137e+20,2.8744516651980528e+20,2.4449903398724672e+20,1.98627408876432e+20,1.6346071693457464e+20,1.6111471096462154e+20,1.3037877820381777e+20,1.2584426910556724e+20,1.0739683893660195e+20,8.534443559560099e+19,8.43759945499489e+19,8.251717778421685e+19,3.1759661649146937e+19,2.4827517912949457e+19,1.6979953780814512e+19,1.1513089608535507e+19
9,XGBoost_grid_1_AutoML_20190421_193027_model_4,7.431782402716567e+20,6.762151322059591e+20,5.980355277933186e+20,2.0896966153789768e+20,1.8947444076812698e+20,1.6784490080307564e+20,1.3129094184631376e+20,1.0272009701418231e+20,1.0026986613800908e+20,9.804604669622747e+19,9.09329013558655e+19,7.191445961422406e+19,6.186019103830547e+19,6.098336130147969e+19,4.0389904337421206e+19,2.373034824494062e+19,8.535264674843722e+18,4.552572150149546e+18
