,model_id,overwrite_with_best_model,hidden,epochs,score_validation_samples,score_duty_cycle,adaptive_rate,rate,rate_annealing,momentum_start,momentum_stable,momentum_ramp,l1,l2,max_w2
10,DeepLearning_grid_1_AutoML_20190421_193852_model_3,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
11,DeepLearning_grid_1_AutoML_20190421_193852_model_4,False,"[50, 50]",257.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
12,DeepLearning_grid_1_AutoML_20190421_193852_model_5,False,"[50, 50]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
13,DeepLearning_grid_1_AutoML_20190421_193852_model_6,False,"[200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
14,DeepLearning_grid_1_AutoML_20190421_193852_model_7,False,"[50, 50, 50]",36.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
15,DeepLearning_grid_1_AutoML_20190421_193852_model_8,False,"[200, 200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
16,DeepLearning_grid_1_AutoML_20190421_195113_model_1,False,[50],772.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
17,DeepLearning_grid_1_AutoML_20190421_195113_model_2,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
18,DeepLearning_grid_1_AutoML_20190421_195113_model_3,False,[200],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
19,DeepLearning_grid_1_AutoML_20190421_195113_model_4,False,"[50, 50]",198.4,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
20,DeepLearning_grid_1_AutoML_20190421_195113_model_5,False,"[500, 500]",3.520828667413214,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
21,DeepLearning_grid_1_AutoML_20190421_195113_model_6,False,"[200, 200, 200]",17.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
22,DeepLearning_grid_1_AutoML_20190421_195113_model_7,False,"[50, 50, 50]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
23,DeepLearning_grid_1_AutoML_20190421_201138_model_1,False,[200],216.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
24,DeepLearning_grid_1_AutoML_20190421_201138_model_2,False,[50],230.4,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
25,DeepLearning_grid_1_AutoML_20190421_201138_model_3,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
26,DeepLearning_grid_1_AutoML_20190421_201138_model_4,False,"[200, 200]",52.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
27,DeepLearning_grid_1_AutoML_20190421_201138_model_5,False,"[200, 200]",14.4,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
28,DeepLearning_grid_1_AutoML_20190421_201138_model_6,False,"[200, 200, 200]",24.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
29,DeepLearning_grid_1_AutoML_20190421_201138_model_7,False,"[200, 200, 200]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
30,DeepLearning_grid_1_AutoML_20190421_204058_model_1,False,[200],593.6,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
31,DeepLearning_grid_1_AutoML_20190421_204058_model_2,False,[200],100.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
32,DeepLearning_grid_1_AutoML_20190421_204058_model_3,False,[500],8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
33,DeepLearning_grid_1_AutoML_20190421_204058_model_4,False,"[50, 50]",476.8,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
34,DeepLearning_grid_1_AutoML_20190421_204058_model_5,False,"[200, 200]",94.4,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
35,DeepLearning_grid_1_AutoML_20190421_204058_model_6,False,"[50, 50]",8.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
36,DeepLearning_grid_1_AutoML_20190421_204058_model_7,False,"[500, 500]",3.2264277715565512,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
37,DeepLearning_grid_1_AutoML_20190421_204058_model_8,False,"[50, 50, 50]",520.0,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
38,DeepLearning_grid_1_AutoML_20190421_204058_model_9,False,"[500, 500, 500]",2.2411534154535273,0,0.1,True,0.005,1e-06,0.0,0.0,1000000.0,0.0,0.0,3.4028235e+38
