,model_id,balance_classes,class_sampling_factors,max_after_balance_size,min_rows,ntrees,max_depth,stopping_rounds,score_each_iteration,stopping_tolerance,seed
0,DRF_1_AutoML_20190425_031629,False,,5.0,1.0,29,20,0,False,0.011609086505314302,-109059479828034882
1,DRF_1_AutoML_20190425_034434,False,,5.0,1.0,19,20,0,False,0.011609086505314302,3927840289394080204
