,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
39,GBM_grid_1_AutoML_20190425_034434_model_4,61,0.1,11,0.9,0.7,False,699962976991480881,0,deviance,0.011609086505314302
40,GBM_grid_1_AutoML_20190425_034434_model_5,100,0.1,5,0.9,1.0,False,-3681137519580778394,0,deviance,0.011609086505314302
41,GBM_grid_1_AutoML_20190425_034434_model_6,145,0.01,12,1.0,0.7,False,-7217941094633065686,0,deviance,0.011609086505314302
42,GBM_grid_1_AutoML_20190425_034434_model_7,4,0.5,8,1.0,1.0,False,3342921263531951771,0,deviance,0.011609086505314302
43,GBM_grid_1_AutoML_20190425_040839_model_1,357,0.008,15,0.7,0.7,False,-2648944990099949971,0,deviance,0.011609086505314302
44,GBM_grid_1_AutoML_20190425_040839_model_10,277,0.01,4,0.7,0.7,False,1745231259963397662,0,deviance,0.011609086505314302
45,GBM_grid_1_AutoML_20190425_040839_model_11,311,0.01,4,0.7,0.4,False,1276172678072786484,0,deviance,0.011609086505314302
46,GBM_grid_1_AutoML_20190425_040839_model_12,34,0.5,10,0.6,1.0,False,-3870717101120213072,0,deviance,0.011609086505314302
47,GBM_grid_1_AutoML_20190425_040839_model_13,89,0.5,10,0.8,1.0,False,8150671539268290391,0,deviance,0.011609086505314302
48,GBM_grid_1_AutoML_20190425_040839_model_14,55,0.1,13,0.7,0.4,False,-7045985887688379629,0,deviance,0.011609086505314302
49,GBM_grid_1_AutoML_20190425_040839_model_15,448,0.005,3,0.9,1.0,False,606085004681480862,0,deviance,0.011609086505314302
50,GBM_grid_1_AutoML_20190425_040839_model_16,156,0.05,15,1.0,0.7,False,-2048560504733410558,0,deviance,0.011609086505314302
51,GBM_grid_1_AutoML_20190425_040839_model_17,30,0.8,8,0.9,1.0,False,-1588338376828620350,0,deviance,0.011609086505314302
52,GBM_grid_1_AutoML_20190425_040839_model_18,260,0.01,12,0.9,0.4,False,1200822257441343333,0,deviance,0.011609086505314302
53,GBM_grid_1_AutoML_20190425_040839_model_19,67,0.1,13,0.6,0.4,False,1363329384422632462,0,deviance,0.011609086505314302
54,GBM_grid_1_AutoML_20190425_040839_model_2,94,0.08,16,0.5,0.7,False,4274705796470630362,0,deviance,0.011609086505314302
55,GBM_grid_1_AutoML_20190425_040839_model_20,436,0.005,13,0.6,0.4,False,3348441687563003820,0,deviance,0.011609086505314302
56,GBM_grid_1_AutoML_20190425_040839_model_21,415,0.001,13,0.9,0.4,False,3099765816924326757,0,deviance,0.011609086505314302
57,GBM_grid_1_AutoML_20190425_040839_model_22,63,0.1,15,0.8,1.0,False,-3536219307378433182,0,deviance,0.011609086505314302
58,GBM_grid_1_AutoML_20190425_040839_model_23,642,0.001,7,0.8,1.0,False,-3661980969011207301,0,deviance,0.011609086505314302
59,GBM_grid_1_AutoML_20190425_040839_model_24,54,0.1,13,0.5,0.4,False,-2673030473880562494,0,deviance,0.011609086505314302
60,GBM_grid_1_AutoML_20190425_040839_model_25,293,0.01,4,0.5,1.0,False,-6097498990510367974,0,deviance,0.011609086505314302
61,GBM_grid_1_AutoML_20190425_040839_model_26,54,0.5,4,0.5,1.0,False,5004331174401921267,0,deviance,0.011609086505314302
62,GBM_grid_1_AutoML_20190425_040839_model_27,80,0.08,8,0.8,0.4,False,792624493303092840,0,deviance,0.011609086505314302
63,GBM_grid_1_AutoML_20190425_040839_model_28,116,0.1,9,0.5,0.7,False,1691396691505618896,0,deviance,0.011609086505314302
64,GBM_grid_1_AutoML_20190425_040839_model_29,92,0.08,12,0.5,0.7,False,3348166776104330507,0,deviance,0.011609086505314302
65,GBM_grid_1_AutoML_20190425_040839_model_3,325,0.01,3,0.5,0.4,False,-5698494297708781256,0,deviance,0.011609086505314302
66,GBM_grid_1_AutoML_20190425_040839_model_30,30,0.5,13,0.6,0.4,False,-4406575484820745939,0,deviance,0.011609086505314302
67,GBM_grid_1_AutoML_20190425_040839_model_31,88,0.05,7,0.5,0.4,False,1781734522232379578,0,deviance,0.011609086505314302
68,GBM_grid_1_AutoML_20190425_040839_model_32,38,0.8,4,0.5,1.0,False,9188517246338338125,0,deviance,0.011609086505314302
69,GBM_grid_1_AutoML_20190425_040839_model_33,5,0.8,17,0.9,1.0,False,-6634361204192029663,0,deviance,0.011609086505314302
70,GBM_grid_1_AutoML_20190425_040839_model_34,1,0.001,13,0.6,1.0,False,207413042864157790,0,deviance,0.011609086505314302
71,GBM_grid_1_AutoML_20190425_040839_model_4,71,0.05,13,0.6,1.0,False,9169096600081472207,0,deviance,0.011609086505314302
72,GBM_grid_1_AutoML_20190425_040839_model_5,37,0.8,17,0.9,0.7,False,3846649455465332253,0,deviance,0.011609086505314302
