,_mean_residual_deviance,activation,categorical_encoding,distribution,elastic_averaging_moving_rate,elastic_averaging_regularization,epochs,epsilon,fold_assignment,huber_alpha,initial_weight_distribution,input_dropout_ratio,loss,max_w2,missing_values_handling,rate,rate_annealing,regression_stop,rho,score_duty_cycle,score_validation_sampling,seed,stopping_metric,stopping_tolerance,target_ratio_comm_to_comp,hidden1,hidden2,hidden3,hidden_ratios1,hidden_ratios2,hidden_ratios3
max,5.6204217974007896e+16,RectifierWithDropout,AUTO,AUTO,0.9,0.001,529.6,1e-06,Modulo,0.9,UniformAdaptive,0.2,Automatic,3.4028235000000003e+38,MeanImputation,0.005,1e-06,1e-06,0.99,0.1,Uniform,9094407270751128389,deviance,0.011609086505314,0.05,500,500,500,0.5,0.5,0.5
min,3.016734757430786e+16,Rectifier,AUTO,AUTO,0.9,0.001,0.658490566037735,1e-09,Modulo,0.9,UniformAdaptive,0.0,Automatic,3.4028235000000003e+38,MeanImputation,0.005,1e-06,1e-06,0.9,0.1,Uniform,-9022752228871362374,deviance,0.011609086505314,0.05,10,0,0,0.0,0.0,0.0
