,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,GBM_grid_1_AutoML_20190421_195113_model_42,4.766713991350316e+20,3.571724644099178e+20,3.4959916905528505e+20,1.8537567252601058e+20,1.589591228164132e+20,1.197404578473176e+20,1.0849768757051733e+20,8.136695668016782e+19,6.848327964812116e+19,6.767114957352023e+19,6.699029678922924e+19,4.945722048992248e+19,2.8500630019581673e+19,2.221630534033028e+19,2.216155186029029e+19,1.7574217825394885e+19,1.027446667010166e+19,5.348566066979144e+18
1,GBM_grid_1_AutoML_20190421_193852_model_8,1.189184770281411e+21,5.0679527335507106e+20,3.808660076026302e+20,1.9710010806061394e+20,1.9624730924992483e+20,1.8449794558769653e+20,1.4659802606886244e+20,1.4469529920676351e+20,1.0476742284947331e+20,8.092481226831351e+19,5.715531041430779e+19,5.631280743050117e+19,4.704902614230237e+19,4.4022448863035e+19,2.04015855879418e+19,1.8939153759139267e+19,1.1397191187363267e+19,7.456283128181555e+18
2,GBM_1_AutoML_20190421_193027,4.616726179729113e+20,3.472102557435696e+20,3.287329364505149e+20,1.1901065480535802e+20,1.0660337856944066e+20,1.0094290799169634e+20,8.070194565940983e+19,7.691747941316297e+19,5.583690361362763e+19,5.1258774690079965e+19,4.6704804236017795e+19,4.446396875228473e+19,4.377449579683198e+19,2.0301193579256087e+19,1.7373620725000176e+19,1.2660116631305847e+19,9.608042776901976e+18,5.202507492101194e+18
3,XGBoost_grid_1_AutoML_20190421_195113_model_6,9.500797996025449e+20,7.264843816154127e+20,5.094320605681523e+20,2.4477903122032964e+20,2.1864520553265208e+20,2.0050099428234835e+20,1.7252415840809963e+20,1.3302833734396726e+20,1.1578749364313732e+20,1.1557586844111602e+20,9.432461325257776e+19,8.637894409594287e+19,5.929449824707622e+19,4.727790048274022e+19,2.5355226319677293e+19,1.7694847445101445e+19,8.041637280286245e+18,3.0847950455685775e+18
4,XGBoost_1_AutoML_20190421_193852,7.619545211743502e+20,4.565837263158431e+20,4.429435193131889e+20,1.77924431758154e+20,1.7728189475506776e+20,1.536750458551822e+20,1.0544442294502058e+20,1.0390523860752951e+20,9.893457523677279e+19,7.416662446576973e+19,6.76804866262633e+19,4.584657823593398e+19,3.857311090610274e+19,2.022367800949788e+19,1.9577171769435357e+19,1.2685289950023778e+19,7.381829698306703e+18,6.207812413853532e+18
5,XGBoost_grid_1_AutoML_20190421_195113_model_13,7.681354301879395e+20,6.798999211260783e+20,4.6493987394945234e+20,1.7613020470348402e+20,1.6297492630914413e+20,1.4622289029365131e+20,1.0751236682235563e+20,9.70827161806213e+19,9.454607248659789e+19,8.564754016505325e+19,7.775736555929548e+19,7.2698890791898055e+19,5.756270146263135e+19,3.7764257376152584e+19,2.6752109663278334e+19,1.886896973291507e+19,6.764121317043077e+18,3.5956946682867876e+18
6,XGBoost_grid_1_AutoML_20190421_193852_model_2,1.1053397079062825e+21,1.0196668877698834e+21,7.471654036855073e+20,2.873746746303253e+20,2.3627734343157495e+20,2.1944024919655737e+20,1.7926529058627335e+20,1.6946137640995285e+20,1.6740411098954675e+20,9.765330114278588e+19,6.724512840017563e+19,5.898850416106616e+19,2.9828026427330527e+19,2.6004430761274376e+19,2.287101833518252e+19,1.4383302040681972e+19,1.2558631708062122e+19,1.1415742147547103e+19
7,XGBoost_1_AutoML_20190421_193027,6.374396319955084e+20,6.206835673694114e+20,4.1474570799003625e+20,1.8224255696805822e+20,1.775357148153166e+20,1.2390095707026384e+20,1.0464272063869747e+20,9.778390553197963e+19,8.396694104004415e+19,6.241417337489064e+19,6.122478766666023e+19,5.175066100797486e+19,4.714971501912759e+19,2.9715832260832264e+19,1.9040003164662137e+19,9.100116783381086e+18,7.506242187768627e+18,6.178445557787263e+18
8,XGBoost_grid_1_AutoML_20190421_193852_model_4,8.572744035562978e+20,5.712883681313885e+20,5.578417103595949e+20,3.016627490684372e+20,2.9019679552338448e+20,2.4668350850494e+20,1.6771978517592775e+20,1.6423053340369224e+20,1.395998368682077e+20,1.1905719493353852e+20,9.45332829673436e+19,7.823091202323907e+19,5.389466909971946e+19,3.218011929365499e+19,2.405686361597149e+19,2.315049879780039e+19,2.0359476491621237e+19,1.8550755674673906e+19
9,XGBoost_1_AutoML_20190421_195113,7.443940714335584e+20,4.856373623056845e+20,3.684095787989048e+20,1.9650350425528966e+20,1.8351141097869777e+20,1.542376439648826e+20,1.0817737784311362e+20,1.0674065039714524e+20,1.0206194694598164e+20,8.826937401999675e+19,8.271426304447244e+19,6.280493540935572e+19,3.776527772294316e+19,3.1935090928381854e+19,2.3246494958998258e+19,1.0390224353785545e+19,6.503679448015962e+18,4.838709331039879e+18
10,XGBoost_grid_1_AutoML_20190421_193852_model_5,6.49297257970654e+20,5.404140112546942e+20,4.947626403131556e+20,1.6317716607991074e+20,1.515740110758976e+20,1.3194231892288733e+20,1.0999858251508272e+20,8.467682093130842e+19,6.049205992377077e+19,5.8373846374813794e+19,5.258499242136384e+19,5.015260441988615e+19,3.214586950644977e+19,1.6533047384100307e+19,1.2042653990891028e+19,1.012051525100372e+19,8.985389342092427e+18,3.9623235220338115e+18
11,XGBoost_2_AutoML_20190421_193027,6.604597814908126e+20,6.219848261867447e+20,4.752576558801302e+20,1.5605087058048057e+20,1.4884417879082743e+20,1.3982216691543704e+20,1.1510093219447492e+20,9.004756579708725e+19,8.375103214072103e+19,6.9019788545917714e+19,6.657822182137135e+19,5.114530069204697e+19,2.424024676232174e+19,1.2811221414799475e+19,1.0237527477454897e+19,7.058806925961462e+18,6.778566700808798e+18,3.35514571338521e+18
12,XGBoost_grid_1_AutoML_20190421_193027_model_6,8.099533230529116e+20,6.416221390431962e+20,5.167648003708137e+20,2.8744516651980528e+20,2.4449903398724672e+20,1.98627408876432e+20,1.6346071693457464e+20,1.6111471096462154e+20,1.3037877820381777e+20,1.2584426910556724e+20,1.0739683893660195e+20,8.534443559560099e+19,8.43759945499489e+19,8.251717778421685e+19,3.1759661649146937e+19,2.4827517912949457e+19,1.6979953780814512e+19,1.1513089608535507e+19
13,XGBoost_grid_1_AutoML_20190421_193027_model_4,7.431782402716567e+20,6.762151322059591e+20,5.980355277933186e+20,2.0896966153789768e+20,1.8947444076812698e+20,1.6784490080307564e+20,1.3129094184631376e+20,1.0272009701418231e+20,1.0026986613800908e+20,9.804604669622747e+19,9.09329013558655e+19,7.191445961422406e+19,6.186019103830547e+19,6.098336130147969e+19,4.0389904337421206e+19,2.373034824494062e+19,8.535264674843722e+18,4.552572150149546e+18
14,XGBoost_2_AutoML_20190421_193852,6.970779871110087e+20,5.467952248985852e+20,4.544821285866051e+20,1.8024823638931905e+20,1.520554916157472e+20,1.4168923441642393e+20,9.2781593818529e+19,9.086424784982717e+19,8.886272327090281e+19,6.466506279294809e+19,6.239356852698612e+19,5.819642478050935e+19,3.4082934116684136e+19,2.5065832660223394e+19,2.109391287558026e+19,8.396056057406816e+18,5.045243244468765e+18,3.232446263039361e+18
15,GBM_1_AutoML_20190421_193852,5.8234431818849006e+20,3.379085632944451e+20,2.6941020274483737e+20,1.3432613050064988e+20,1.1414397005021682e+20,8.47665234879489e+19,6.505169945978575e+19,6.426050408657768e+19,5.364858520328366e+19,4.88433499539956e+19,4.0183706324794606e+19,2.9269885737769107e+19,2.8815701673590653e+19,1.9127080087535485e+19,1.8671767924426932e+19,9.144645904794386e+18,8.707973212555706e+18,3.300621206641705e+18
16,GBM_grid_1_AutoML_20190421_193852_model_5,5.85114067143695e+20,3.466285173354529e+20,2.9363140596576603e+20,2.1897111837131093e+20,1.4316707480117812e+20,1.3234558460358348e+20,1.2133337751708133e+20,1.1359986132804908e+20,7.98460506239769e+19,7.805766417507366e+19,5.103922420824565e+19,4.241386774964522e+19,3.779908550647402e+19,2.853524264562406e+19,2.3871083534272692e+19,1.9817874655964824e+19,1.215085912920372e+19,1.1894443122001707e+19
17,XGBoost_grid_1_AutoML_20190421_195113_model_1,1.044547938704966e+21,5.7921027024467735e+20,5.020451368324741e+20,2.3128680968668106e+20,2.21353153138283e+20,2.0934145479776036e+20,1.9684234735069115e+20,1.2373673401353922e+20,1.0807229971587033e+20,9.211809572577083e+19,8.985278511320347e+19,5.789454286798717e+19,5.4587145920939295e+19,3.4046465515014062e+19,1.8675112638798627e+19,1.76675597655233e+19,6.687749239377756e+18,3.617677204260913e+18
18,XGBoost_grid_1_AutoML_20190421_193852_model_7,1.082127381370629e+21,8.062074540628461e+20,7.537954763931826e+20,2.6942439963897522e+20,2.353362494391289e+20,1.5340359842451685e+20,1.4773909044007535e+20,1.2287536780824648e+20,9.37433058530191e+19,8.00846886276694e+19,6.830468377539825e+19,6.109504969262917e+19,5.953888449755873e+19,5.194774626823045e+19,1.9626289152871367e+19,1.8069537918103323e+19,1.5260260420368204e+19,1.3472297283441656e+19
19,GBM_1_AutoML_20190421_195113,4.5217575781181004e+20,3.4546641270973084e+20,2.6932190756308045e+20,1.5051761789611645e+20,1.172793550001689e+20,1.086781306227749e+20,9.26847928148196e+19,9.200839964969088e+19,7.638057469118041e+19,5.022392754015673e+19,4.2227359791248835e+19,3.648709545565356e+19,3.1669699607762305e+19,2.2439748093326918e+19,1.3129488249598771e+19,1.2383088079617917e+19,6.898032487457358e+18,6.568721058357051e+18
20,GBM_grid_1_AutoML_20190421_195113_model_37,7.264218238018388e+20,5.150131464063712e+20,4.6109496095195687e+20,1.9740730281332153e+20,1.538146222592586e+20,9.70848536312257e+19,8.37069373264007e+19,7.840507466507878e+19,6.446028974739109e+19,5.813905666181851e+19,4.8025770699767415e+19,4.671535075155142e+19,4.36627722213104e+19,1.934648103578842e+19,1.8399968650040705e+19,9.820887337318482e+18,6.319041758898422e+18,4.4248745948217344e+18
21,GBM_grid_1_AutoML_20190421_195113_model_12,6.431175452257157e+20,2.5064950851897917e+20,2.1966715321215825e+20,1.0118892591743448e+20,9.97947011929494e+19,9.391466254118473e+19,7.297530361707443e+19,7.137481051121857e+19,5.645012763671737e+19,5.166679905710113e+19,3.4805458391667835e+19,2.1613948890169475e+19,1.062695800333874e+19,9.07779339880235e+18,4.588842289970807e+18,4.486620693936472e+18,3.804029306884063e+18,0.0
22,XRT_1_AutoML_20190421_195113,1.2018863286054793e+21,8.314966437141592e+20,7.098335182618614e+20,4.9698097978898435e+20,2.7281272503987392e+20,2.6338954095392666e+20,2.6247397322343108e+20,2.2115552252026002e+20,1.9923740033533608e+20,1.742042649518995e+20,1.4388670955960402e+20,1.3409833807965376e+20,1.0792235271812075e+20,7.358924891979199e+19,6.74288172107584e+19,3.5895848470979805e+19,2.5574154477930283e+19,1.5160901952612598e+19
23,XGBoost_grid_1_AutoML_20190421_193027_model_1,1.1616904352938024e+21,6.725494835842562e+20,5.8353112224341846e+20,3.2777838443574487e+20,3.017796667368884e+20,2.9489996090924283e+20,1.9458078387375125e+20,1.8740890702028e+20,1.7210520049745186e+20,1.574288313289676e+20,1.0983893342672965e+20,9.909666963898604e+19,8.219096587839524e+19,6.295005335203611e+19,3.4818278697247703e+19,2.8498947766791176e+19,1.5025238710419456e+19,1.212140871025374e+19
