,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
38,GBM_4_AutoML_20190421_193852,0.27749963236180414,0.18532082296033162,0.1704058147870075,0.06689080292855731,0.05648513670707744,0.0341335744249846,0.033865046651876764,0.03109131057864411,0.02794842745933083,0.02763901058866558,0.025195005159511563,0.020772415579290184,0.017912768338135942,0.0102844351015133,0.00895309416719714,0.002225926167723446,0.0016986338566924919,0.0016781421816560115
39,GBM_grid_1_AutoML_20190421_195113_model_1,0.2315796754028371,0.19948593110507942,0.16728610784333373,0.06402955551920107,0.060446711781582,0.046619778447022336,0.0419045435120219,0.03585729008739151,0.02686825420589686,0.026545104421511045,0.025814114838490658,0.02217816334390898,0.01685954764752936,0.013590043888700533,0.008242698957127129,0.006594857168306274,0.003053899760761859,0.0030437220692982165
40,XGBoost_grid_1_AutoML_20190421_195113_model_12,0.25408950420089693,0.18277953656099363,0.16415917446408007,0.06569993704911907,0.05167961755139974,0.04376954046515374,0.04350421793229961,0.02929225532878884,0.02927875034534948,0.027832870536286792,0.027591023830366553,0.02247685121486404,0.018275262737757342,0.01675294539431761,0.008284153369446053,0.006517979110020033,0.004988850484509831,0.003027529424350633
41,GBM_grid_1_AutoML_20190421_193027_model_2,0.22813469519390944,0.15184613742461742,0.1490131180115916,0.08125591327634134,0.05735220775365274,0.050374219744363534,0.04316786876716946,0.04272116565034518,0.03961104451843033,0.034284932692794236,0.033570271745327736,0.025616240821157838,0.025584010495440887,0.014738915271408408,0.010077826296254356,0.008227251594369447,0.003001417922254584,0.0014227628205714705
42,GBM_3_AutoML_20190421_193852,0.2588131025940744,0.19437639541371204,0.18258915598705397,0.05588368908266771,0.04753281964037263,0.045216589237738386,0.03125492943309715,0.029308839156103696,0.02898308618207491,0.02716559242769534,0.025552643979521582,0.02378243005569841,0.02210706800758428,0.008044510677351912,0.007945662951208006,0.004824568881195422,0.004243689543531874,0.0023752267493182475
43,XGBoost_grid_1_AutoML_20190421_193852_model_10,0.2778039737307347,0.20337269530255803,0.19727937038755577,0.05940596306825749,0.05408125374548467,0.04170050694360203,0.0356646733962242,0.029639287359577986,0.027201251445872907,0.026969750839704678,0.01968728192270392,0.01588675405766845,0.00486042256850242,0.0026658511207424376,0.0017443564126295298,0.0015252500141486186,0.00026548485658746813,0.00024587282744474527
44,GBM_grid_1_AutoML_20190421_195113_model_32,0.2403184858236506,0.10776884280660975,0.09575236265553198,0.08513036751603242,0.07408616258538603,0.0658088819756861,0.0599580084310256,0.05591848730155391,0.05561453729278607,0.03891792124188512,0.031506858256339476,0.025969418539380743,0.024961112669233766,0.01138956728783268,0.009486229691218075,0.007194098269206042,0.0054793692617081695,0.004739288394933467
45,GBM_grid_1_AutoML_20190421_193852_model_15,0.20868527835523784,0.19049573788913593,0.18953571166959618,0.05722150857812832,0.05657844493316269,0.04876539412837392,0.04727586974334696,0.036322010723225315,0.029831676494877075,0.0284217356992528,0.028153489074097874,0.026661400160857274,0.019828478249078425,0.01585479095441055,0.009528743505069987,0.004396776766946387,0.0015685221612923472,0.0008744309139101118
46,GBM_2_AutoML_20190421_193027,0.22401020254332715,0.19585439257709636,0.1938203886446172,0.0543557532886129,0.05343499957802927,0.04043898683081317,0.04004820222523812,0.03934705257905093,0.03276941193986319,0.029742271780212652,0.02946363528874319,0.02166424795568631,0.015337227025441352,0.013992113479559148,0.006625720593925411,0.004444923960722646,0.003449476315249471,0.0012009933938115043
47,XGBoost_grid_1_AutoML_20190421_195113_model_4,0.2829441198593985,0.21196620481458953,0.1564147313852439,0.0586315097576623,0.05638408642800452,0.05357151826061157,0.03831608756559737,0.03249429648259784,0.028595128606191535,0.023062568225258342,0.020025597039168855,0.01367631979545075,0.006924695341641246,0.005602645374423996,0.0034316111459157957,0.0034147078064005547,0.00260239264590462,0.0019417794659387657
48,GBM_3_AutoML_20190421_193027,0.3377461871557915,0.18937079984634966,0.11222408653331745,0.05599584261199881,0.05020351683013477,0.04324207650869276,0.040381019636289706,0.03220957442139029,0.023458105342865077,0.022481549048279634,0.021409786375704457,0.019507062474823363,0.015961024901131857,0.01567715852259366,0.014387686897945725,0.0028370125467333833,0.0017687220511513762,0.0011387882948064997
49,XGBoost_grid_1_AutoML_20190421_193027_model_2,0.2436551198803999,0.20563654568183437,0.16817710730102473,0.07460911167917313,0.062186827799555616,0.03837449672701046,0.03475637141103889,0.03370119370744185,0.02745849389426253,0.025278562824833078,0.022187288746839343,0.021583039867902935,0.014734894087183583,0.010214137377263701,0.006880679185862004,0.006675483474193872,0.0023105783609925585,0.0015800679931874534
50,GBM_grid_1_AutoML_20190421_193852_model_7,0.2293263629198428,0.15307547187108725,0.10295006060121951,0.09859872606773763,0.059673966167218505,0.05414263626785627,0.052149778651763755,0.04914983691131759,0.048777596583527906,0.03427284656501824,0.03076564703621106,0.028020721853119143,0.02432060783530937,0.014288561270674937,0.007401299046544725,0.0071113366960702026,0.003854859168316743,0.0021196844871643567
51,GBM_2_AutoML_20190421_193852,0.30002006449704594,0.2095957985089395,0.1503853499354469,0.04709752466966078,0.04461175396282781,0.041407166312365525,0.03405543295913926,0.02999467125061162,0.029517347198705527,0.02947345124293124,0.026297798547907435,0.017002194846796513,0.013843866799767065,0.012293847541432637,0.005566699000659963,0.003373705262576226,0.003072516175775646,0.0023908112874104393
52,XRT_1_AutoML_20190421_193027,0.1866626894693955,0.18508439185764303,0.17999336395091706,0.06957172571173252,0.06645267568084846,0.04978653227348698,0.04929102384892303,0.0443309851237695,0.04391666623446806,0.03284222529396653,0.031213577298207493,0.0175179132491009,0.011513223382311975,0.009873472082637625,0.00791140478564056,0.006021034357783893,0.004312264016034309,0.003704831383132589
53,XGBoost_grid_1_AutoML_20190421_193027_model_3,0.2565671422082718,0.21689133135993227,0.1704638875176183,0.061906295590493154,0.0593951970121184,0.051828458362666766,0.03486780913273631,0.0313928520557784,0.028617206399943886,0.026472250908266447,0.024440148301748784,0.01372198322881656,0.006045936407428473,0.005746985472662306,0.0052366621946660025,0.0028517270348065726,0.0018996478567850168,0.001654478955260525
